2783116	Zwartebeek	Zwartebeek	De Zwartwaterbeek,Zwartebeek,Zwartwaterbeek	50.98333	5.06667	H	STM	BE		VLG				0		21	Europe/Brussels	2012-01-18
2783117	Zwartebeek	Zwartebeek	Zwartebeek,Zwartengracht	51.16667	3.95	H	DTCH	BE		VLG	VOV			0		2	Europe/Brussels	2012-01-18
2783118	Zwarte Arend	Zwarte Arend	Chateau de Zwarte Aren,Château de Zwarte Aren,Zwarte Arend	51.21667	4.48333	S	HSEC	BE		VLG	VAN	11	11002	0		3	Europe/Brussels	2016-08-02
2783119	Zwartberg	Zwartberg	Zwartberg,Zwartberg-Cites,Zwartberg-Cités	51.01288	5.51796	P	PPL	BE		VLG	VLI	71	71016	0		81	Europe/Brussels	2016-08-02
2783120	Zwankendamme	Zwankendamme	Zwankendamme	51.3098	3.19611	P	PPL	BE		VLG	VWV	31	31005	0		1	Europe/Brussels	2016-08-02
2783121	Zwaneven	Zwaneven	Het Zwaneven,Zwaneven	51.30774	5.0109	P	PPL	BE		VLG	VAN	13	13031	0		29	Europe/Brussels	2016-08-02
2783122	Zwanenhoek	Zwanenhoek		51.21667	4.13333	P	PPL	BE		VLG	VOV	46	46020	0		3	Europe/Brussels	2016-08-02
2783123	Zwanenberg	Zwanenberg		51.41667	4.48333	P	PPL	BE		VLG	VAN	11	11022	0		13	Europe/Brussels	2016-08-02
2783124	Zwanebeek	Zwanebeek	De Zwanebeek,Wezelse beek,Zwanebeek	51.23333	4.53333	H	STM	BE		VLG	VAN			0		11	Europe/Brussels	2012-01-18
2783125	Zwaluwbeek	Zwaluwbeek		51.18333	4.33333	H	STM	BE		VLG				0		7	Europe/Brussels	2009-07-24
2783126	Zwalmstraat	Zwalmstraat		50.78333	3.71667	P	PPL	BE		VLG	VOV	45	45059	0		71	Europe/Brussels	2016-08-02
2783127	Zwalmbeek	Zwalmbeek		50.81667	3.78333	H	STM	BE		VLG	VOV			0		31	Europe/Brussels	2010-03-06
2783128	Zwalm	Zwalm	De Zwalm,Zwalm	50.88333	3.68333	H	STM	BE		VLG	VOV			0		12	Europe/Brussels	2012-01-18
