921917	Dembeni	Dembeni	Debenay,Debeney	-12.8436	45.18436	P	PPLA	YT		97607				10141		15	Indian/Mayotte	2013-08-08
921919	Anse Debenay	Anse Debenay	Anse Debenay,Debeney Bay,Débéney Bay	-12.83333	45.2	H	BAY	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921920	Debenay	Debenay	Debenay,M'Ro Adembini,M’Ro Adembini,Riviere Debeney,Riviére Debéney	-12.83333	45.2	H	STM	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921921	Pointe Dapani	Pointe Dapani	Point Dapani,Pointe Dapani	-13	45.2	T	PT	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921924	Banc du Coq	Banc du Coq	Banc du Coq,Coq Shoal	-12.6674	45.14662	H	BNK	YT		00				0		-9999	Indian/Mayotte	2015-09-06
921932	Lac Combani	Lac Combani		-12.8	45.13333	H	LK	YT		00				0		81	Indian/Mayotte	2012-01-11
921933	Combani	Combani		-12.8	45.16667	P	PPL	YT		00				0		202	Indian/Mayotte	2012-01-11
921934	Anse des Cocotiers	Anse des Cocotiers		-12.85	45.1	H	BAY	YT		00				0		24	Indian/Mayotte	2012-01-11
921936	Îles Choazil	Iles Choazil	Choazil Islands,Iles Choazil,Malandzamia Islands,Îles Choazil	-12.68333	45.06667	T	ISLS	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921937	Pointe Choa	Pointe Choa	Choa Point,Pointe Choa	-12.78333	45.25	T	PT	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921938	Anse Choa	Anse Choa	Anse Choa,Choa Bay	-12.78333	45.25	H	BAY	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921940	Baie de Chingoni	Baie de Chingoni	Baie de Chingoni,Baie de Chingouni,Chinguni Bay	-12.8	45.11667	H	BAY	YT		00				0		19	Indian/Mayotte	2012-01-11
921941	Chingoni	Chingoni		-12.8	45.13333	P	PPL	YT		00				0		81	Indian/Mayotte	2012-01-11
921947	Récif Chaloupe	Recif Chaloupe	Chaloupe Reef,Recif Chaloupe,Récif Chaloupe	-12.64863	45.1143	H	RF	YT		00				0		-9999	Indian/Mayotte	2015-09-06
921950	Île Caroni	Ile Caroni	Caroni Islet,Ile Caroni,Île Caroni	-12.93333	45.16667	T	ISL	YT		00				0		107	Indian/Mayotte	2012-01-11
921952	Îlot Cacazou	Ilot Cacazou	Cacazou,Cacazou Islet,Ilot Cacazou,Îlot Cacazou	-12.76667	45.26667	T	ISL	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921954	Sisoa Bouzi	Sisoa Bouzi	Bouzi,Buzi,Buzi Islet,Ilot Bouzi,Sisoa Bouzi,Îlot Bouzi	-12.81667	45.25	T	ISL	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921955	Îlot Bouni	Ilot Bouni	Buni Islet,Ile Bouni,Ilot Bouni,Îlot Bouni	-13	45.15	T	ISL	YT		00				0		4	Indian/Mayotte	2012-01-11
921958	Baie de Boueni	Baie de Boueni	Baie de Boeni,Baie de Boueni,Boeni Bay	-12.9	45.15	H	BAY	YT		00				0		58	Indian/Mayotte	2012-01-11
921960	Pointe Boeni	Pointe Boeni		-12.9	45.1	T	PT	YT		00				0		10	Indian/Mayotte	2012-01-11
921961	Passe Bouéni	Passe Boueni	Boeni Pass,Passe Boeni,Passe Boueni,Passe Bouéni	-12.91667	44.98333	H	CHN	YT		00				0		-9999	Indian/Mayotte	2014-01-10
921962	Monts Boeni	Monts Boeni		-12.9	45.1	T	HLLS	YT		00				0		10	Indian/Mayotte	2012-01-11
921963	Boeni	Boeni		-12.91667	45.1	P	PPL	YT		00				0		47	Indian/Mayotte	2012-01-11
921965	Banc Boa Sadia	Banc Boa Sadia	Banc Boa Sadia,Boa Sadia Shoal	-12.68333	45.05	H	BNK	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921966	Pointe Blanche	Pointe Blanche		-12.71667	45.2	T	PT	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921968	Mont Bénara	Mont Benara	Mavegani,Maveguani,Mavingoni,Mavégani,Mavéguani,Mont Benara,Mont Bénara	-12.86667	45.18333	T	MT	YT		00				0	660	142	Indian/Mayotte	2015-04-18
921970	Passe aux Bateaux	Passe aux Bateaux	Boat Passage,Passe aux Bateaux	-12.96667	45	H	CHN	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921976	Récif Bandele	Recif Bandele	Bandeli Reef,Recif Bandele,Recif Bandeli,Récif Bandele,Récif Bandeli	-12.9	45.26667	H	RF	YT		00				0		-9999	Indian/Mayotte	2012-01-11
921977	Passe de Bandele	Passe de Bandele	Bandeli Pass,Passe Bandeli,Passe de Bandele	-12.88333	45.26667	H	CHN	YT		00				0		-9999	Indian/Mayotte	2012-01-11
